SPOT ON 46129 Hotel T-24 SPOT,"Near Mahavir Tapobhumi, Indore Road, Ujjain"
SPOT ON 63328 Sanwariya Garden SPOT,"Near Maharishi Vidhya Pratisthan, Ujjain"
13191 Hotel Atlas Palace,"Indore Gate, Near Railway Station, Ujjain"
14421 Hotel Grand Tower,"Near Freeganj Tower Square, Freegunj, Ujjain"
24941 Atit Villa,"Near Nanakheda bus stand, Mahakal Vanijya, Ujjain"
4119 Hotel King Palace,"Teen Batti Square, Ujjain"
2520 Hotel Ashoka Palace,"Opposite Mahakaleshwar temple,Near Ramghat Ujjain"
39544 Hotel Sneh Palace,"Indore Road, Vidhapati Nagar, Ujjain"
30888 Hotel Mahadev Saver,"Opposite Chatriwale Ganeshji, Ujjain"
SPOT ON 46607 Shree Shivtam Stay SPOT,"Near mahakal vanijya kendra nanakeda, Ujjain"
46179 Heritage Inn,"Near Gopal Mandir, Chatri Chowk, Ujjain"
47039 Parihar Palace,"Nanakheda Bus Stand, Ujjain"
47433 Hotel Everest Palace,"Near Mahakal Chouraha, Ujjain"
49599 Pingaksh ,"Near VD Market, Ujjain"
SPOT ON 39886 Hotel Vijay SPOT,"Near Chatrri Chowk, Kharakua Colony, Ujjain"
39545 Hotel Mithilesh Puri,"Near Siidhvat Ghat, Ujjain"
66811 Hotel Nahta Palace,"malipura road, Ujjain"
42885 Premdip,"Patidar Hospital, Ujjain"
48179 Hotel Shankar ,"Near Mahakal Mandir, Ujjain"
48178 Pitambara Residency,"jaisinghpura, Ujjain"
SPOT ON 68233 Hotel Manju Shree SPOT,"Chintaman Road, Ujjain"
40051 Apni Haveli,"Near Indore Dewas Bypass Road, Saibagh Colony, Ujjain"
963 Hotel Rumaya,"Indore Road, Ujjain"
39381 Kalajanki,"Near Subhash Underbridge, Ujjain"
69414 Nandi Rooms,"Near Mahakaleshwar Mandir, Ujjain"
SPOT ON 36624 Hotel Kalpvraksha Residency SPOT,"Near Patidar Hospital, Ujjain"
39675 Gupta Avenue,"Near Astha Restraunt, Ujjain"
36623 Hotel Mahakal Sagar,"Ramghat Marg, Ujjain"
30722 Shree Rudrika Guest House,"Near Manibhadra Jain Temple, Bhairavgad, Ujjain"
42374 Hotel Gangotri,"Near Mahakal Temple, Jaisinghpura, Ujjain"
42646 Hotel Soni Palace,"Near Pushpa Mission Hospital, Rishi Nagar, Ujjain"
39358 Hotel Kalyan Palace,"Near Bade Ganpati Guru Colony, Ujjain"
17161 Hotel Mahalaxmi,"Near Shree Chaubis Khamba Mata Mandir, Ujjain"
15217 Shree Gopal Heritage,"Near Kharakua Police Station, Ujjain"
SPOT ON 42385 Purushottam Yatri Grah SPOT,"Near Ramghat Marg, Kaharwadi, Ujjain"
SPOT ON 70552 Taj Guest House SPOT,"456001, Ujjain"
SPOT ON 63525 Hotel Citylight SPOT,"mahakal marg, Ujjain"
23689 Kanchan,"Indore road,Ujjain"
67467 Shree Guest House ,", Ujjain"
28041 Sr,"Near Tapobhumi Sanwer Road, Ujjain"
SPOT ON 42735 Hotel Agrawal Palace SPOT,"Near Ramghat, Ujjain"
49277 Parihar Mangalik Parisar SPOT,"Near MR 2 Road Mahakal Vanijya Kendra, Ujjain"
SPOT ON 63791 Hotel Abhinandan SPOT,"Jaisinghpura, Ujjain"
13531 Hotel Sundaram Palace,"Near Railway Station, Indore Gate, Ujjain"
24196 Hotel Shreenath Palace,"Near Tower Chowk, Ujjain"
25042 Vikramaditya Hotel Deluxe,"Near Ring Road Intersection,Ujjain"
42736 Anand Mangal Parisar,"Near Saharsh Hospital, Sethi Nagar, Ujjain"
16163 Hotel Shri Hari,"Near Rajkumar Restraunt, Bakhtawar Marg, Ujjain"
SPOT ON 48832 Balaji Parisar SPOT,"Chardham Mandir, Jaisinghpura Marg, Ujjain"
SPOT ON 64769 Hotel G.n Palace SPOT,"near mahakal mandir, Ujjain"
15676 Hotel Aaradhy,"Subhash Marg,Near Railway Station,Ujjain"
36211 Hotel Padma Palace,"Near Mahakal Mandir Road, Ujjain"
SPOT ON 69320 Hotel New Neha Palace SPOT,"mahakal chouraha, Ujjain"
28791 Hotel Ghunghat Garden,"Near Dmart, Pawapuri Colony, Ujjain"
27755 Samrat,"Near Mannat marriage garden, harifatak bridge, Ujjain"
SPOT ON 44231 Shraddha SPOT,"Near Bus Stand, Nanakheda, Ujjain"
12128 Hotel Sajan Palace,"Near Mahakal Temple, Ujjain"
27756 Darshan,"Near Mahakal Mandir, Harifatak Fatak Road, Ujjain"
SPOT ON 63779 Mp Residency  SPOT,"Dr hariram choubey marg gadha pilia ujjain, Ujjain"
SPOT ON 48525 Hotel Shreenath SPOT,"Near Bhutta Chouraha, Ujjain"
SPOT ON 60452 Hotel Sunshine Palace SPOT,"Near Mahakal Mandir, Lohe Ka Pool, Ujjain"
